date_of_birth,race_ethnicity:confidence,religion,religion:confidence,sexual_orientation,sexual_orientation:confidence,year_of_award,year_of_award:confidence,award,movie,person
14-ιπε-00,1,Na,1,Straight,1,1947,1,Best Supporting Actor,The Best Years of Our Lives,Harold Russell
26-Sep-1875,1,Na,1,Na,1,1948,1,Best Supporting Actor,Miracle on 34th Street,Edmund Gwenn
6-Apr-1884,1,Na,1,Straight,1,1949,1,Best Supporting Actor,The Treasure of the Sierra Madre,Walter Huston
07-ιπε-00,1,Na,1,Straight,1,1950,1,Best Supporting Actor,Twelve O'Clock High,Dean Jagger
03-ιπε-00,1,Na,1,Straight,1,1951,1,Best Supporting Actor,All About Eve,George Sanders
22-ιπε-00,1,Na,1,Straight,1,1952,1,Best Supporting Actor,A Streetcar Named Desire,Karl Malden
21-ιπε-00,1,Na,1,Straight,1,1953,1,Best Supporting Actor,Viva Zapata!,Anthony Quinn
12-ιπε-00,1,Na,1,Straight,1,1954,1,Best Supporting Actor,From Here to Eternity,Frank Sinatra
10-ιπε-00,1,Roman Catholic,1,Straight,1,1955,1,Best Supporting Actor,The Barefoot Contessa,Edmond O'Brien
08-ιπε-00,1,Roman Catholic,1,Straight,1,1956,1,Best Supporting Actor,Mister Roberts,Jack Lemmon
21-ιπε-00,1,Na,1,Straight,1,1957,1,Best Supporting Actor,Lust for Life,Anthony Quinn
05-ιπε-00,1,Jewish,1,Straight,1,1958,1,Best Supporting Actor,Sayonara,Red Buttons
14-ιπε-00,1,Na,1,Straight,1,1959,1,Best Supporting Actor,The Big Country,Burl Ives
30-ιπε-00,1,Na,1,Na,1,1960,1,Best Supporting Actor,Ben-Hur,Hugh Griffith
16-ιπε-00,1,Na,1,Straight,1,1961,1,Best Supporting Actor,Spartacus,Peter Ustinov
16-ιπε-00,1,Na,1,Gay,1,1962,1,Best Supporting Actor,West Side Story,George Chakiris
25-ιπε-00,1,Na,1,Straight,1,1963,1,Best Supporting Actor,Sweet Bird of Youth,"Ed Begley, Sr."
05-ιπε-00,1,Jewish,1,Straight,1,1964,1,Best Supporting Actor,Hud,Melvyn Douglas
16-ιπε-00,1,Na,1,Straight,1,1965,1,Best Supporting Actor,Topkapi,Peter Ustinov
04-ιπε-00,1,Na,1,Straight,1,1966,1,Best Supporting Actor,A Thousand Clowns,Martin Balsam
01-ιπε-00,1,Jewish,1,Straight,1,1967,1,Best Supporting Actor,The Fortune Cookie,Walter Matthau
18-ιπε-00,1,Na,1,Straight,1,1968,1,Best Supporting Actor,Cool Hand Luke,George Kennedy
16-ιπε-00,1,Na,1,Na,1,1969,0.9646,Best Supporting Actor,The Subject Was Roses,Jack Albertson
04-ιπε-00,1,Na,1,Straight,1,1970,1,Best Supporting Actor,"They Shoot Horses, Don't They?",Gig Young
22-ιπε-00,1,Na,1,Straight,1,1971,1,Best Supporting Actor,Ryan's Daughter,John Mills
13-ιπε-00,1,Na,1,Straight,1,1972,1,Best Supporting Actor,The Last Picture Show,Ben Johnson
11-ιπε-00,1,Jewish,1,Gay,1,1973,1,Best Supporting Actor,Cabaret,Joel Grey
22-ιπε-00,1,Na,1,Straight,0.6667,1974,1,Best Supporting Actor,The Paper Chase,John Houseman
17-ιπε-00,1,Roman Catholic,1,Straight,1,1975,1,Best Supporting Actor,The Godfather Part II,Robert De Niro
20-Jan-1896,1,Jewish,1,Straight,1,1976,1,Best Supporting Actor,The Sunshine Boys,George Burns
26-ιπε-00,1,Na,1,Straight,1,1977,1,Best Supporting Actor,All the President's Men,Jason Robards
26-ιπε-00,1,Na,1,Straight,1,1978,1,Best Supporting Actor,Julia,Jason Robards
31-ιπε-00,1,Na,1,Straight,1,1979,1,Best Supporting Actor,The Deer Hunter,Christopher Walken
05-ιπε-00,1,Jewish,1,Straight,1,1980,1,Best Supporting Actor,Being There,Melvyn Douglas
16-ιπε-00,1,Na,1,Straight,1,1981,1,Best Supporting Actor,Oridnary People,Timothy Hutton
14-ιπε-00,1,Na,1,Gay,1,1982,1,Best Supporting Actor,Arthur,John Gielgud
27-ιπε-00,1,Na,1,Straight,1,1983,1,Best Supporting Actor,An Officer and a Gentleman,"Lou Gossett, Jr."
22-ιπε-00,1,Atheist,1,Straight,1,1984,1,Best Supporting Actor,Terms of Endearment,Jack Nicholson
22-ιπε-00,1,Buddhist,1,Straight,1,1985,1,Best Supporting Actor,The Killing Fields,Haing S. Ngor
31-ιπε-00,1,Roman Catholic,1,Straight,1,1986,1,Best Supporting Actor,Cocoon,Don Ameche
14-ιπε-00,1,Na,1,Straight,1,1987,1,Best Supporting Actor,Hannah and Her Sisters,Michael Caine
25-ιπε-00,1,Roman Catholic,1,Straight,1,1988,1,Best Supporting Actor,The Untouchables,Sean Connery
