date_of_birth,race_ethnicity,religion,sexual_orientation,year_of_award,movie,person
21-דצמ-37,White,Born-Again Christian,Straight,1979,Coming Home,Jane Fonda
06-נוב-46,White,Na,Straight,1980,Norma Rae,Sally Field
25-דצמ-49,White,Na,Straight,1981,Coal Miner's Daughter,Sissy Spacek
12-מאי-07,White,Atheist,Bisexual,1982,On Golden Pond,Katharine Hepburn
22-יונ-49,White,Na,Straight,1983,Sophie's Choice,Meryl Streep
24-אפר-34,White,Baptist,Straight,1984,Terms of Endearment,Shirley MacLaine
06-נוב-46,White,Na,Straight,1985,Places in the Heart,Sally Field
22-נוב-24,White,Na,Straight,1986,The Trip to Bountiful,Geraldine Page
24-אוג-65,White,Jewish,Straight,1987,Children of a Lesser God,Marlee Matlin
20-מאי-46,White,Na,Bisexual,1988,Moonstruck,Cher
19-נוב-62,White,Atheist,Lesbian,1989,The Accused,Jodie Foster
07-יונ-09,White,Na,Straight,1990,Driving Miss Daisy,Jessica Tandy
28-יונ-48,White,Na,Straight,1991,Misery,Kathy Bates
19-נוב-62,White,Atheist,Lesbian,1992,The Silence of the Lambs,Jodie Foster
15-אפר-59,White,Na,Straight,1993,Howards End,Emma Thompson
20-מרץ-58,White,Na,Straight,1994,The Piano,Holly Hunter
20-אפר-49,White,Na,Straight,1995,Blue Sky,Jessica Lange
04-אוק-46,White,Roman Catholic,Straight,1996,Dead Man Walking,Susan Sarandon
23-יונ-57,White,Disciples of Christ,Straight,1997,Fargo,Frances McDormand
15-יונ-63,White,Na,Straight,1998,As Good As It Gets,Helen Hunt
27-ספט-72,White,Jewish,Straight,1999,Shakespeare in Love,Gwyneth Paltrow
30-יול-74,White,Na,Straight,2000,Boys Don't Cry,Hilary Swank
28-אוק-67,White,Hindu,Straight,2001,Erin Brockovich,Julia Roberts
14-אוג-66,Multiracial,Na,Straight,2002,Monster's Ball,Halle Berry
20-יונ-67,White,Roman Catholic,Straight,2003,The Hours,Nicole Kidman
07-אוג-75,White,Na,Straight,2004,Monster,Charlize Theron
30-יול-74,White,Na,Straight,2005,Million Dollar Baby,Hilary Swank
22-מרץ-76,White,Na,Straight,2006,Walk the Line,Reese Witherspoon
26-יול-45,White,Na,Straight,2007,The Queen,Helen Mirren
30-ספט-75,White,Na,Straight,2008,The Passionate Life of Edith Piaf,Marion Cotillard
05-אוק-75,White,Na,Straight,2009,The Reader,Kate Winslet
26-יול-64,White,Na,Straight,2010,The Blind Side,Sandra Bullock
09-יונ-81,White,Jewish,Straight,2011,Black Swan,Natalie Portman
22-יונ-49,White,Na,Straight,2012,The Iron Lady,Meryl Streep
15-אוג-90,White,Na,Na,2013,Silver Linings Playbook,Jennifer Lawrence
14-מאי-69,White,Na,Straight,2014,Blue Jasmine,Cate Blanchett
15-Feb-1899,White,Na,Straight,1937,Anthony Adverse,Gale Sondergaard
